pastry,salty snack,whole milk
semi-finished bread,sausage,whole milk,yogurt
pickled vegetables,soda
canned beer,misc. beverages
hygiene articles,sausage
sausage,whole milk,rolls/buns
whole milk,soda
whipped/sour cream,soda,frankfurter
beef,white bread
curd,frankfurter
other vegetables,frozen vegetables
whole milk,butter
tropical fruit,sugar
specialty chocolate,butter milk
dental care,frozen meals
rolls/buns,rolls/buns
root vegetables,detergent
sausage,rolls/buns
whole milk,tropical fruit,pip fruit
cling film/bags,dish cleaner
rolls/buns,red/blush wine,chocolate
canned beer,frozen fish
other vegetables,shopping bags
pastry,root vegetables,whole milk
chocolate,packaged fruit/vegetables,rolls/buns,whole milk
other vegetables,hygiene articles
rolls/buns,rolls/buns
margarine,whipped/sour cream
rice,whole milk
bottled water,softener,rolls/buns
shopping bags,skin care
frankfurter,chicken,frankfurter,flour,whole milk,chocolate,bottled beer,rolls/buns
tropical fruit,soda,yogurt,root vegetables,yogurt,domestic eggs,white wine,photo/film
hamburger meat,dessert,liquor (appetizer),liver loaf
canned fish,cocoa drinks
yogurt,tropical fruit
ketchup,pastry
herbs,newspapers,yogurt
pip fruit,UHT-milk,coffee
sliced cheese,kitchen towels
specialty bar,bottled water
bottled water,frankfurter
candles,pip fruit,rolls/buns
bottled water,rolls/buns,citrus fruit,candy
curd cheese,pastry
yogurt,whole milk,grapes,frankfurter,candles,herbs,other vegetables
frozen vegetables,brown bread
processed cheese,whole milk
yogurt,frankfurter
tropical fruit,rolls/buns,onions,root vegetables,shopping bags
hard cheese,napkins,bottled water
whole milk,candy
frozen vegetables,tropical fruit
mustard,whipped/sour cream
mustard,other vegetables
root vegetables,mayonnaise
whole milk,frozen meals
white bread,roll products,domestic eggs,meat
butter milk,hamburger meat
whole milk,rolls/buns
canned beer,cookware
bottled beer,yogurt,whole milk,sausage
rolls/buns,chocolate,fruit/vegetable juice
salty snack,beef
whole milk,citrus fruit
soft cheese,pip fruit
red/blush wine,chicken
rolls/buns,frankfurter,oil,pip fruit,mayonnaise
UHT-milk,bottled beer
other vegetables,root vegetables
yogurt,beef
brown bread,pet care
other vegetables,rolls/buns
dessert,shopping bags,soda
domestic eggs,beverages
berries,cake bar
long life bakery product,curd
butter milk,root vegetables
hamburger meat,red/blush wine
frozen meals,butter,newspapers,yogurt
canned beer,shopping bags
frozen fish,spices,rolls/buns,canned beer
butter,sliced cheese
curd,tropical fruit,yogurt,liquor
rolls/buns,baking powder
beef,napkins
whole milk,whipped/sour cream
fruit/vegetable juice,sausage
frozen meals,chicken
male cosmetics,curd
domestic eggs,soda
whipped/sour cream,specialty bar,sausage
packaged fruit/vegetables,root vegetables,whipped/sour cream,rolls/buns
yogurt,bottled beer,berries,white bread
fish,root vegetables,other vegetables,tropical fruit
coffee,shopping bags
cream cheese,ham
UHT-milk,canned beer
dessert,sausage,rolls/buns,pickled vegetables
root vegetables,long life bakery product
citrus fruit,yogurt
butter,fruit/vegetable juice,candy,salty snack,dental care
root vegetables,root vegetables,canned beer,whipped/sour cream
whole milk,salt,softener
rolls/buns,bottled water
rolls/buns,red/blush wine
pork,hamburger meat
rolls/buns,sugar
baking powder,onions,bottled water,rolls/buns
soda,butter
canned beer,onions,flower (seeds)
root vegetables,specialty chocolate
dessert,ham
pot plants,ice cream
cream cheese,beverages
other vegetables,berries,other vegetables
newspapers,whipped/sour cream
white bread,whole milk,pastry,shopping bags
other vegetables,berries,cream cheese,soda,butter,white bread
whipped/sour cream,ice cream
yogurt,root vegetables
frankfurter,pastry
fruit/vegetable juice,dessert
sausage,rolls/buns,snack products
rolls/buns,soda,tropical fruit
chicken,waffles
pip fruit,cling film/bags,yogurt,cat food
frozen meals,domestic eggs,bottled water
tropical fruit,newspapers
frozen vegetables,whole milk
pip fruit,white wine,white bread,salt
yogurt,yogurt,whole milk,rolls/buns
frozen vegetables,sausage
newspapers,whole milk
vinegar,fruit/vegetable juice
tropical fruit,rolls/buns,white bread
citrus fruit,shopping bags,chewing gum,cake bar
canned beer,yogurt,frankfurter
margarine,napkins
fruit/vegetable juice,sausage,pork,butter,whole milk
pip fruit,whole milk,whipped/sour cream
other vegetables,specialty chocolate
frozen meals,herbs,pip fruit
cake bar,whipped/sour cream,butter,Instant food products
salty snack,rolls/buns
yogurt,rolls/buns
pasta,rolls/buns,whole milk
root vegetables,white bread
packaged fruit/vegetables,chicken,onions,tropical fruit
chicken,frozen vegetables,candy
whole milk,tropical fruit,brown bread
dessert,prosecco
hamburger meat,yogurt
dessert,beef
bottled water,citrus fruit
whole milk,other vegetables
tropical fruit,sliced cheese
chocolate marshmallow,napkins,whole milk
whole milk,citrus fruit,rolls/buns
other vegetables,tropical fruit
curd,root vegetables
